 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G;positiv;;;
139;01-DAPI-1-40x-402ms.tif;NBL;0.0422;0.0422;47.0411;1.3805;1.9856;0.0583;0;;;
2001;14-DAPI-1-40x-402ms.tif;NBL;0.0168;0.0168;48.2774;1.3806;0.812;0.0232;0;;;
1401;07-DAPI-1-40x-402ms.tif;NBL;0.0729;0.0729;20.1994;1.381;1.4729;0.1007;0;;;
1741;09-DAPI-1-40x-402ms.tif;NBL;0.027;0.027;77.2048;1.3815;2.0859;0.0373;0;;;
1164;05-DAPI-1-40x-402ms.tif;NBL;0.052;0.052;19.8267;1.382;1.0305;0.0718;0;;;
1385;07-DAPI-1-40x-402ms.tif;NBL;0.0787;0.0787;21.5738;1.3821;1.6972;0.1087;0;;;
2210;15-DAPI-1-40x-402ms.tif;NBL;0.0786;0.0786;64.6851;1.3826;5.0816;0.1086;0;;;
1032;05-DAPI-1-40x-402ms.tif;NBL;0.0725;0.0725;45.1257;1.3832;3.2708;0.1003;0;;;
509;02-DAPI-1-40x-402ms.tif;NBL;0.0229;0.0229;62.7299;1.3839;1.4362;0.0317;0;;;
1776;09-DAPI-1-40x-402ms.tif;NBL;0.0534;0.0534;90.7033;1.3841;4.8422;0.0739;0;;;
1403;07-DAPI-1-40x-402ms.tif;NBL;0.0745;0.0745;21.0626;1.3843;1.5701;0.1032;0;;;
194;01-DAPI-1-40x-402ms.tif;NBL;0.0347;0.0347;42.3969;1.3844;1.4721;0.0481;0;;;
2460;16-DAPI-1-40x-402ms.tif;NBL;0.0432;0.0432;102.5879;1.3844;4.4303;0.0598;0;;;
1598;08-DAPI-1-40x-402ms.tif;NBL;0.0226;0.0226;30.0433;1.3846;0.6781;0.0312;0;;;
2170;15-DAPI-1-40x-402ms.tif;NBL;0.0226;0.0226;89.9135;1.3846;2.0293;0.0312;0;;;
258;02-DAPI-1-40x-402ms.tif;NBL;0.0414;0.0414;64.3508;1.3848;2.6673;0.0574;0;;;
1672;08-DAPI-1-40x-402ms.tif;NBL;0.0392;0.0392;35.5706;1.385;1.3933;0.0543;0;;;
1544;08-DAPI-1-40x-402ms.tif;NBL;0.0237;0.0237;30.6697;1.3853;0.7255;0.0328;0;;;
524;03-DAPI-1-40x-402ms.tif;NBL;0.0352;0.0352;47.6296;1.3858;1.6745;0.0487;0;;;
2352;16-DAPI-1-40x-402ms.tif;NBL;0.0428;0.0428;75.203;1.3858;3.2151;0.0592;0;;;
1038;05-DAPI-1-40x-402ms.tif;NBL;0.0452;0.0452;38.8729;1.3861;1.7589;0.0627;0;;;
2361;16-DAPI-1-40x-402ms.tif;NBL;0.0458;0.0458;98.7938;1.3863;4.5238;0.0635;0;;;
265;02-DAPI-1-40x-402ms.tif;NBL;0.0488;0.0488;54.2978;1.3867;2.6513;0.0677;0;;;
2218;15-DAPI-1-40x-402ms.tif;NBL;0.023;0.023;68.9387;1.3868;1.5858;0.0319;0;;;
590;03-DAPI-1-40x-402ms.tif;NBL;0.0577;0.0577;44.3816;1.3872;2.562;0.0801;0;;;
2358;16-DAPI-1-40x-402ms.tif;NBL;0.0328;0.0328;100.9338;1.3874;3.3075;0.0455;0;;;
1359;06-DAPI-1-40x-402ms.tif;NBL;0.0675;0.0675;22.6013;1.3875;1.5254;0.0936;0;;;
571;03-DAPI-1-40x-402ms.tif;NBL;0.0484;0.0484;50.6928;1.3879;2.4532;0.0672;0;;;
578;03-DAPI-1-40x-402ms.tif;NBL;0.0484;0.0484;34.6457;1.3879;1.6766;0.0672;0;;;
816;04-DAPI-1-40x-402ms.tif;NBL;0.0678;0.0678;49.456;1.3888;3.3539;0.0942;0;;;
1305;06-DAPI-1-40x-402ms.tif;NBL;0.0371;0.0371;20.5936;1.3889;0.7642;0.0515;0;;;
1684;08-DAPI-1-40x-402ms.tif;NBL;0.0117;0.0117;41.2593;1.3889;0.4835;0.0163;0;;;
354;02-DAPI-1-40x-402ms.tif;NBL;0.0242;0.0242;42.9731;1.3901;1.0398;0.0336;0;;;
368;02-DAPI-1-40x-402ms.tif;NBL;0.045;0.045;53.612;1.3904;2.4142;0.0626;0;;;
1250;06-DAPI-1-40x-402ms.tif;NBL;0.0792;0.0792;26.0205;1.3904;2.0611;0.1101;0;;;
2215;15-DAPI-1-40x-402ms.tif;NBL;0.0616;0.0616;69.3187;1.3908;4.2722;0.0857;0;;;
1444;07-DAPI-1-40x-402ms.tif;NBL;0.0433;0.0433;24.1053;1.391;1.0436;0.0602;0;;;
1458;07-DAPI-1-40x-402ms.tif;NBL;0.0219;0.0219;27.4356;1.3911;0.6013;0.0305;0;;;
963;04-DAPI-1-40x-402ms.tif;NBL;0.0385;0.0385;48.0789;1.3915;1.852;0.0536;0;;;
592;03-DAPI-1-40x-402ms.tif;NBL;0.0626;0.0626;43.182;1.3917;2.7036;0.0871;0;;;
1267;06-DAPI-1-40x-402ms.tif;NBL;0.0676;0.0676;31.4831;1.3917;2.1283;0.0941;0;;;
743;03-DAPI-1-40x-402ms.tif;NBL;0.0482;0.0482;45.5586;1.3919;2.1949;0.0671;0;;;
1109;05-DAPI-1-40x-402ms.tif;NBL;0.0382;0.0382;51.4943;1.392;1.9668;0.0532;0;;;
997;05-DAPI-1-40x-402ms.tif;NBL;0.0332;0.0332;53.8464;1.3922;1.7879;0.0462;0;;;
1510;07-DAPI-1-40x-402ms.tif;NBL;0.0736;0.0736;21.1608;1.3923;1.5567;0.1024;0;;;
2261;15-DAPI-1-40x-402ms.tif;NBL;0.0679;0.0679;57.7125;1.393;3.9201;0.0946;0;;;
2087;14-DAPI-1-40x-402ms.tif;NBL;0.0193;0.0193;54.9719;1.3933;1.0617;0.0269;0;;;
2024;14-DAPI-1-40x-402ms.tif;NBL;0.0632;0.0632;74.012;1.3935;4.6739;0.088;0;;;
456;02-DAPI-1-40x-402ms.tif;NBL;0.0342;0.0342;56.1524;1.3937;1.9193;0.0476;0;;;
567;03-DAPI-1-40x-402ms.tif;NBL;0.0419;0.0419;50.1736;1.3938;2.1015;0.0584;0;;;
383;02-DAPI-1-40x-402ms.tif;NBL;0.0399;0.0399;53.6658;1.394;2.1429;0.0557;0;;;
1288;06-DAPI-1-40x-402ms.tif;NBL;0.0683;0.0683;27.8887;1.3943;1.9034;0.0952;0;;;
2039;14-DAPI-1-40x-402ms.tif;NBL;0.0668;0.0668;66.4026;1.3945;4.4384;0.0932;0;;;
231;02-DAPI-1-40x-402ms.tif;NBL;0.0541;0.0541;48.479;1.3948;2.6249;0.0755;0;;;
607;03-DAPI-1-40x-402ms.tif;NBL;0.0832;0.0832;42.2386;1.395;3.5153;0.1161;0;;;
1042;05-DAPI-1-40x-402ms.tif;NBL;0.0516;0.0516;38.1387;1.395;1.9698;0.072;0;;;
2275;15-DAPI-1-40x-402ms.tif;NBL;0.0151;0.0151;48.3094;1.3957;0.7286;0.0211;0;;;
2037;14-DAPI-1-40x-402ms.tif;NBL;0.0438;0.0438;48.4059;1.396;2.122;0.0612;0;;;
1138;05-DAPI-1-40x-402ms.tif;NBL;0.0345;0.0345;45.5755;1.3962;1.5726;0.0482;0;;;
2172;15-DAPI-1-40x-402ms.tif;NBL;0.032;0.032;98.3322;1.3966;3.1476;0.0447;0;;;
2030;14-DAPI-1-40x-402ms.tif;NBL;0.072;0.072;61.5075;1.3976;4.4315;0.1007;0;;;
1564;08-DAPI-1-40x-402ms.tif;NBL;0.0286;0.0286;30.2576;1.3977;0.8668;0.04;0;;;
1295;06-DAPI-1-40x-402ms.tif;NBL;0.0404;0.0404;26.3253;1.3978;1.0626;0.0564;0;;;
319;02-DAPI-1-40x-402ms.tif;NBL;0.0436;0.0436;53.0597;1.398;2.3145;0.061;0;;;
1787;09-DAPI-1-40x-402ms.tif;NBL;0.0474;0.0474;68.9794;1.3982;3.2708;0.0663;0;;;
85;01-DAPI-1-40x-402ms.tif;NBL;0.0417;0.0417;58.1927;1.3984;2.4247;0.0583;0;;;
946;04-DAPI-1-40x-402ms.tif;NBL;0.0283;0.0283;33.5517;1.3985;0.9502;0.0396;0;;;
505;02-DAPI-1-40x-402ms.tif;NBL;0.0171;0.0171;45.1582;1.3987;0.7742;0.024;0;;;
2340;16-DAPI-1-40x-402ms.tif;NBL;0.0375;0.0375;83.0289;1.3988;3.1172;0.0525;0;;;
1312;06-DAPI-1-40x-402ms.tif;NBL;0.0731;0.0731;25.2062;1.3991;1.8434;0.1023;0;;;
1409;07-DAPI-1-40x-402ms.tif;NBL;0.0431;0.0431;24.1385;1.4005;1.0398;0.0603;0;;;
461;02-DAPI-1-40x-402ms.tif;NBL;0.0493;0.0493;63.0396;1.4009;3.1055;0.069;0;;;
1979;14-DAPI-1-40x-402ms.tif;NBL;0.0411;0.0411;49.9763;1.4011;2.0552;0.0576;0;;;
2370;16-DAPI-1-40x-402ms.tif;NBL;0.0357;0.0357;54.4316;1.4012;1.9431;0.05;0;;;
1495;07-DAPI-1-40x-402ms.tif;NBL;0.0319;0.0319;21.898;1.4014;0.6986;0.0447;0;;;
1063;05-DAPI-1-40x-402ms.tif;NBL;0.0403;0.0403;48.9245;1.4016;1.9695;0.0564;0;;;
1773;09-DAPI-1-40x-402ms.tif;NBL;0.0437;0.0437;85.6427;1.402;3.745;0.0613;0;;;
1229;06-DAPI-1-40x-402ms.tif;NBL;0.0521;0.0521;21.3125;1.4021;1.11;0.073;0;;;
1989;14-DAPI-1-40x-402ms.tif;NBL;0.0577;0.0577;65.8064;1.4023;3.7987;0.0809;0;;;
994;05-DAPI-1-40x-402ms.tif;NBL;0.0404;0.0404;31.0995;1.4032;1.2553;0.0566;0;;;
1193;05-DAPI-1-40x-402ms.tif;NBL;0.0202;0.0202;35.6237;1.4032;0.719;0.0283;0;;;
824;04-DAPI-1-40x-402ms.tif;NBL;0.0613;0.0613;45.0212;1.4035;2.7601;0.086;0;;;
1903;09-DAPI-1-40x-402ms.tif;NBL;0.0366;0.0366;74.0475;1.4036;2.7077;0.0513;0;;;
589;03-DAPI-1-40x-402ms.tif;NBL;0.0594;0.0594;42.713;1.404;2.5352;0.0833;0;;;
1719;08-DAPI-1-40x-402ms.tif;NBL;0.0107;0.0107;32.2424;1.404;0.3464;0.0151;0;;;
2220;15-DAPI-1-40x-402ms.tif;NBL;0.0537;0.0537;72.0626;1.404;3.8706;0.0754;0;;;
380;02-DAPI-1-40x-402ms.tif;NBL;0.0725;0.0725;44.1916;1.4042;3.2031;0.1018;0;;;
561;03-DAPI-1-40x-402ms.tif;NBL;0.0447;0.0447;43.7451;1.4053;1.9556;0.0628;0;;;
1490;07-DAPI-1-40x-402ms.tif;NBL;0.0557;0.0557;23.6257;1.4055;1.3151;0.0782;0;;;
1445;07-DAPI-1-40x-402ms.tif;NBL;0.0519;0.0519;23.5335;1.4059;1.2206;0.0729;0;;;
1324;06-DAPI-1-40x-402ms.tif;NBL;0.0469;0.0469;21.2685;1.4074;0.997;0.066;0;;;
2020;14-DAPI-1-40x-402ms.tif;NBL;0.1075;0.1075;58.7992;1.4077;6.3227;0.1514;0;;;
980;05-DAPI-1-40x-402ms.tif;NBL;0.0407;0.0407;44.344;1.408;1.8044;0.0573;0;;;
2322;16-DAPI-1-40x-402ms.tif;NBL;0.0295;0.0295;127.4559;1.4081;3.7617;0.0416;0;;;
1325;06-DAPI-1-40x-402ms.tif;NBL;0.0653;0.0653;27.4884;1.4086;1.7956;0.092;0;;;
195;01-DAPI-1-40x-402ms.tif;NBL;0.0451;0.0451;50.4928;1.4087;2.2792;0.0636;0;;;
1330;06-DAPI-1-40x-402ms.tif;NBL;0.1296;0.1296;19.3643;1.4087;2.5088;0.1825;0;;;
1714;08-DAPI-1-40x-402ms.tif;NBL;0.0233;0.0233;21.4279;1.4093;0.4999;0.0329;0;;;
1929;09-DAPI-1-40x-402ms.tif;NBL;0.0186;0.0186;111.7719;1.4094;2.0739;0.0262;0;;;
372;02-DAPI-1-40x-402ms.tif;NBL;0.045;0.045;36.8265;1.4096;1.6583;0.0635;0;;;
1316;06-DAPI-1-40x-402ms.tif;NBL;0.0326;0.0326;24.8733;1.41;0.8097;0.0459;0;;;
1494;07-DAPI-1-40x-402ms.tif;NBL;0.0579;0.0579;20.9363;1.4101;1.2131;0.0817;0;;;
1777;09-DAPI-1-40x-402ms.tif;NBL;0.0901;0.0901;82.2578;1.4108;7.4082;0.1271;0;;;
2309;16-DAPI-1-40x-402ms.tif;NBL;0.0322;0.0322;96.2997;1.4108;3.1034;0.0455;0;;;
577;03-DAPI-1-40x-402ms.tif;NBL;0.0496;0.0496;41.4573;1.4114;2.0558;0.07;0;;;
684;03-DAPI-1-40x-402ms.tif;NBL;0.0913;0.0913;44.1367;1.4114;4.0277;0.1288;0;;;
2462;16-DAPI-1-40x-402ms.tif;NBL;0.0778;0.0778;99.212;1.4114;7.7186;0.1098;0;;;
1167;05-DAPI-1-40x-402ms.tif;NBL;0.0301;0.0301;34.0181;1.4116;1.0225;0.0424;0;;;
1257;06-DAPI-1-40x-402ms.tif;NBL;0.0756;0.0756;27.7231;1.4118;2.0967;0.1068;0;;;
734;03-DAPI-1-40x-402ms.tif;NBL;0.0437;0.0437;51.2432;1.4119;2.2408;0.0617;0;;;
1241;06-DAPI-1-40x-402ms.tif;NBL;0.0592;0.0592;29.8718;1.4121;1.7697;0.0837;0;;;
2463;16-DAPI-1-40x-402ms.tif;NBL;0.0694;0.0694;88.4594;1.4125;6.143;0.0981;0;;;
2248;15-DAPI-1-40x-402ms.tif;NBL;0.0628;0.0628;53.6753;1.4128;3.3722;0.0888;0;;;
138;01-DAPI-1-40x-402ms.tif;NBL;0.0346;0.0346;43.5423;1.4138;1.5072;0.0489;0;;;
1594;08-DAPI-1-40x-402ms.tif;NBL;0.0309;0.0309;24.7474;1.414;0.7653;0.0437;0;;;
1096;05-DAPI-1-40x-402ms.tif;NBL;0.06;0.06;39.7432;1.4141;2.3848;0.0849;0;;;
1785;09-DAPI-1-40x-402ms.tif;NBL;0.0607;0.0607;94.2701;1.415;5.718;0.0858;0;;;
1523;07-DAPI-1-40x-402ms.tif;NBL;0.062;0.062;15.3292;1.4151;0.9498;0.0877;0;;;
2354;16-DAPI-1-40x-402ms.tif;NBL;0.0614;0.0614;66.7986;1.4152;4.1024;0.0869;0;;;
562;03-DAPI-1-40x-402ms.tif;NBL;0.0347;0.0347;48.4375;1.4156;1.6819;0.0492;0;;;
808;04-DAPI-1-40x-402ms.tif;NBL;0.029;0.029;46.8015;1.4157;1.3559;0.041;0;;;
1426;07-DAPI-1-40x-402ms.tif;NBL;0.047;0.047;23.7298;1.4157;1.1149;0.0665;0;;;
219;02-DAPI-1-40x-402ms.tif;NBL;0.0381;0.0381;50.9573;1.416;1.9408;0.0539;0;;;
156;01-DAPI-1-40x-402ms.tif;NBL;0.0621;0.0621;37.7115;1.4161;2.3406;0.0879;0;;;
2200;15-DAPI-1-40x-402ms.tif;NBL;0.0357;0.0357;57.386;1.4164;2.0486;0.0506;0;;;
95;01-DAPI-1-40x-402ms.tif;NBL;0.0742;0.0742;44.7281;1.4167;3.3197;0.1051;0;;;
381;02-DAPI-1-40x-402ms.tif;NBL;0.0973;0.0973;32.3489;1.4169;3.1485;0.1379;0;;;
1029;05-DAPI-1-40x-402ms.tif;NBL;0.0463;0.0463;37.4754;1.4169;1.7363;0.0656;0;;;
1030;05-DAPI-1-40x-402ms.tif;NBL;0.04;0.04;33.8943;1.4173;1.3571;0.0567;0;;;
2041;14-DAPI-1-40x-402ms.tif;NBL;0.0643;0.0643;65.3592;1.4182;4.2055;0.0913;0;;;
126;01-DAPI-1-40x-402ms.tif;NBL;0.0532;0.0532;50.2653;1.4184;2.6725;0.0754;0;;;
1467;07-DAPI-1-40x-402ms.tif;NBL;0.0235;0.0235;29.1106;1.4194;0.6854;0.0334;0;;;
2279;15-DAPI-1-40x-402ms.tif;NBL;0.0357;0.0357;59.6626;1.4195;2.1299;0.0507;0;;;
277;02-DAPI-1-40x-402ms.tif;NBL;0.0607;0.0607;56.5653;1.4222;3.431;0.0863;0;;;
558;03-DAPI-1-40x-402ms.tif;NBL;0.0434;0.0434;51.365;1.4225;2.2294;0.0617;0;;;
1442;07-DAPI-1-40x-402ms.tif;NBL;0.0575;0.0575;24.0019;1.4226;1.3803;0.0818;0;;;
727;03-DAPI-1-40x-402ms.tif;NBL;0.0583;0.0583;43.1695;1.4227;2.5154;0.0829;0;;;
593;03-DAPI-1-40x-402ms.tif;NBL;0.0387;0.0387;43.4202;1.423;1.682;0.0551;0;;;
1737;09-DAPI-1-40x-402ms.tif;NBL;0.0585;0.0585;97.8071;1.423;5.7203;0.0832;0;;;
2398;16-DAPI-1-40x-402ms.tif;NBL;0.0613;0.0613;73.8779;1.423;4.5292;0.0872;0;;;
1165;05-DAPI-1-40x-402ms.tif;NBL;0.0205;0.0205;32.746;1.4233;0.6715;0.0292;0;;;
1391;07-DAPI-1-40x-402ms.tif;NBL;0.0363;0.0363;27.6985;1.4239;1.0068;0.0518;0;;;
1317;06-DAPI-1-40x-402ms.tif;NBL;0.0379;0.0379;29.3696;1.4241;1.1122;0.0539;0;;;
2021;14-DAPI-1-40x-402ms.tif;NBL;0.1067;0.1067;58.9349;1.4242;6.2861;0.1519;0;;;
812;04-DAPI-1-40x-402ms.tif;NBL;0.0541;0.0541;40.9559;1.4248;2.2176;0.0771;0;;;
2399;16-DAPI-1-40x-402ms.tif;NBL;0.0674;0.0674;66.3575;1.4251;4.4714;0.096;0;;;
1289;06-DAPI-1-40x-402ms.tif;NBL;0.0681;0.0681;28.1513;1.4252;1.9183;0.0971;0;;;
1320;06-DAPI-1-40x-402ms.tif;NBL;0.0459;0.0459;27.7707;1.4255;1.2746;0.0654;0;;;
707;03-DAPI-1-40x-402ms.tif;NBL;0.0161;0.0161;52.9189;1.4257;0.8498;0.0229;0;;;
1115;05-DAPI-1-40x-402ms.tif;NBL;0.0293;0.0293;52.2148;1.4259;1.5297;0.0418;0;;;
1254;06-DAPI-1-40x-402ms.tif;NBL;0.0445;0.0445;26.5;1.4268;1.1789;0.0635;0;;;
1102;05-DAPI-1-40x-402ms.tif;NBL;0.0201;0.0201;50.5568;1.427;1.0149;0.0286;0;;;
420;02-DAPI-1-40x-402ms.tif;NBL;0.0216;0.0216;50.9799;1.4271;1.1008;0.0308;0;;;
1196;05-DAPI-1-40x-402ms.tif;NBL;0.0284;0.0284;47.9046;1.4275;1.3619;0.0406;0;;;
1424;07-DAPI-1-40x-402ms.tif;NBL;0.0431;0.0431;27.0856;1.4282;1.1668;0.0615;0;;;
1664;08-DAPI-1-40x-402ms.tif;NBL;0.0296;0.0296;25.1502;1.4286;0.745;0.0423;0;;;
2035;14-DAPI-1-40x-402ms.tif;NBL;0.0847;0.0847;58.5851;1.4289;4.9647;0.1211;0;;;
1425;07-DAPI-1-40x-402ms.tif;NBL;0.0359;0.0359;29.8912;1.429;1.0736;0.0513;0;;;
1253;06-DAPI-1-40x-402ms.tif;NBL;0.0748;0.0748;27.643;1.4296;2.0666;0.1069;0;;;
1383;07-DAPI-1-40x-402ms.tif;NBL;0.0455;0.0455;22.7351;1.4296;1.0336;0.065;0;;;
1051;05-DAPI-1-40x-402ms.tif;NBL;0.024;0.024;33.9593;1.4299;0.8143;0.0343;0;;;
521;03-DAPI-1-40x-402ms.tif;NBL;0.1017;0.1017;47.381;1.4301;4.8173;0.1454;0;;;
2315;16-DAPI-1-40x-402ms.tif;NBL;0.059;0.059;88.5551;1.4301;5.2272;0.0844;0;;;
533;03-DAPI-1-40x-402ms.tif;NBL;0.0482;0.0482;52.527;1.4302;2.5306;0.0689;0;;;
2366;16-DAPI-1-40x-402ms.tif;NBL;0.0688;0.0688;81.041;1.4306;5.5751;0.0984;0;;;
529;03-DAPI-1-40x-402ms.tif;NBL;0.074;0.074;43.1276;1.4311;3.1915;0.1059;0;;;
1048;05-DAPI-1-40x-402ms.tif;NBL;0.0279;0.0279;37.3969;1.4319;1.0429;0.0399;0;;;
1674;08-DAPI-1-40x-402ms.tif;NBL;0.0183;0.0183;28.9112;1.432;0.5302;0.0263;0;;;
1069;05-DAPI-1-40x-402ms.tif;NBL;0.1074;0.1074;33.7475;1.4323;3.6252;0.1539;0;;;
1185;05-DAPI-1-40x-402ms.tif;NBL;0.0186;0.0186;34.1111;1.4327;0.6329;0.0266;0;;;
207;02-DAPI-1-40x-402ms.tif;NBL;0.0178;0.0178;56.2866;1.4329;1.0016;0.0255;0;;;
168;01-DAPI-1-40x-402ms.tif;NBL;0.0138;0.0138;66.748;1.4331;0.9198;0.0197;0;;;
860;04-DAPI-1-40x-402ms.tif;NBL;0.0596;0.0596;44.1512;1.4335;2.6301;0.0854;0;;;
177;01-DAPI-1-40x-402ms.tif;NBL;0.0523;0.0523;51.3154;1.4336;2.6838;0.075;0;;;
2396;16-DAPI-1-40x-402ms.tif;NBL;0.0483;0.0483;79.6472;1.4337;3.8458;0.0692;0;;;
1925;09-DAPI-1-40x-402ms.tif;NBL;0.0238;0.0238;79.6438;1.4338;1.8926;0.0341;0;;;
279;02-DAPI-1-40x-402ms.tif;NBL;0.0435;0.0435;53.6559;1.4339;2.3346;0.0624;0;;;
2015;14-DAPI-1-40x-402ms.tif;NBL;0.0604;0.0604;67.3142;1.4345;4.0684;0.0867;0;;;
985;05-DAPI-1-40x-402ms.tif;NBL;0.0549;0.0549;47.2747;1.4348;2.5956;0.0788;0;;;
104;01-DAPI-1-40x-402ms.tif;NBL;0.0409;0.0409;51.5995;1.435;2.1108;0.0587;0;;;
818;04-DAPI-1-40x-402ms.tif;NBL;0.0459;0.0459;46.1986;1.435;2.1204;0.0659;0;;;
2137;15-DAPI-1-40x-402ms.tif;NBL;0.0544;0.0544;58.1517;1.4351;3.1612;0.078;0;;;
134;01-DAPI-1-40x-402ms.tif;NBL;0.0545;0.0545;43.6514;1.4363;2.3777;0.0782;0;;;
1080;05-DAPI-1-40x-402ms.tif;NBL;0.0316;0.0316;32.5567;1.4364;1.028;0.0454;0;;;
1162;05-DAPI-1-40x-402ms.tif;NBL;0.0477;0.0477;16.1;1.4364;0.7687;0.0686;0;;;
1256;06-DAPI-1-40x-402ms.tif;NBL;0.0632;0.0632;30.3419;1.4364;1.9161;0.0907;0;;;
282;02-DAPI-1-40x-402ms.tif;NBL;0.0711;0.0711;37.3145;1.4366;2.652;0.1021;0;;;
525;03-DAPI-1-40x-402ms.tif;NBL;0.0462;0.0462;52.3685;1.4366;2.4207;0.0664;0;;;
1772;09-DAPI-1-40x-402ms.tif;NBL;0.0318;0.0318;80.3003;1.4369;2.553;0.0457;0;;;
1290;06-DAPI-1-40x-402ms.tif;NBL;0.0471;0.0471;19.5069;1.4378;0.9186;0.0677;0;;;
1630;08-DAPI-1-40x-402ms.tif;NBL;0.0498;0.0498;23.8083;1.4379;1.1858;0.0716;0;;;
1340;06-DAPI-1-40x-402ms.tif;NBL;0.0297;0.0297;25.4051;1.438;0.7553;0.0428;0;;;
2255;15-DAPI-1-40x-402ms.tif;NBL;0.0938;0.0938;65.5405;1.4387;6.1444;0.1349;0;;;
2187;15-DAPI-1-40x-402ms.tif;NBL;0.0133;0.0133;56.6992;1.439;0.7567;0.0192;0;;;
2365;16-DAPI-1-40x-402ms.tif;NBL;0.0116;0.0116;54.5047;1.4393;0.6328;0.0167;0;;;
443;02-DAPI-1-40x-402ms.tif;NBL;0.0286;0.0286;54.8523;1.4394;1.5713;0.0412;0;;;
1561;08-DAPI-1-40x-402ms.tif;NBL;0.0414;0.0414;37.1571;1.4398;1.5401;0.0597;0;;;
523;03-DAPI-1-40x-402ms.tif;NBL;0.0481;0.0481;47.2325;1.4402;2.2704;0.0692;0;;;
598;03-DAPI-1-40x-402ms.tif;NBL;0.0391;0.0391;55.75;1.4417;2.1777;0.0563;0;;;
1090;05-DAPI-1-40x-402ms.tif;NBL;0.0226;0.0226;50.3654;1.4423;1.1367;0.0326;0;;;
1983;14-DAPI-1-40x-402ms.tif;NBL;0.0557;0.0557;59.2203;1.4425;3.2964;0.0803;0;;;
2360;16-DAPI-1-40x-402ms.tif;NBL;0.0572;0.0572;92.1651;1.444;5.2703;0.0826;0;;;
1307;06-DAPI-1-40x-402ms.tif;NBL;0.0608;0.0608;24.4464;1.4446;1.4855;0.0878;0;;;
534;03-DAPI-1-40x-402ms.tif;NBL;0.0412;0.0412;50.8316;1.4447;2.0959;0.0596;0;;;
1168;05-DAPI-1-40x-402ms.tif;NBL;0.0256;0.0256;32.3432;1.4449;0.8282;0.037;0;;;
1313;06-DAPI-1-40x-402ms.tif;NBL;0.0237;0.0237;37.6193;1.445;0.8899;0.0342;0;;;
1329;06-DAPI-1-40x-402ms.tif;NBL;0.0673;0.0673;27.6629;1.4452;1.861;0.0972;0;;;
962;04-DAPI-1-40x-402ms.tif;NBL;0.0626;0.0626;33.6256;1.4454;2.1053;0.0905;0;;;
2012;14-DAPI-1-40x-402ms.tif;NBL;0.0358;0.0358;75.5091;1.4455;2.7038;0.0518;0;;;
1879;09-DAPI-1-40x-402ms.tif;NBL;0.02;0.02;78.788;1.4457;1.573;0.0289;0;;;
2019;14-DAPI-1-40x-402ms.tif;NBL;0.0525;0.0525;59.0992;1.4463;3.1037;0.076;0;;;
1582;08-DAPI-1-40x-402ms.tif;NBL;0.0345;0.0345;18.7642;1.4465;0.6475;0.0499;0;;;
977;05-DAPI-1-40x-402ms.tif;NBL;0.0447;0.0447;33.9854;1.4466;1.5193;0.0647;0;;;
1074;05-DAPI-1-40x-402ms.tif;NBL;0.0306;0.0306;30.0567;1.4468;0.9197;0.0443;0;;;
1331;06-DAPI-1-40x-402ms.tif;NBL;0.0565;0.0565;23.501;1.4472;1.3286;0.0818;0;;;
1005;05-DAPI-1-40x-402ms.tif;NBL;0.0465;0.0465;39.0862;1.4476;1.8194;0.0674;0;;;
1139;05-DAPI-1-40x-402ms.tif;NBL;0.0157;0.0157;42.9103;1.4483;0.6751;0.0228;0;;;
2225;15-DAPI-1-40x-402ms.tif;NBL;0.0378;0.0378;69.8621;1.4483;2.638;0.0547;0;;;
555;03-DAPI-1-40x-402ms.tif;NBL;0.0551;0.0551;42.6319;1.4488;2.3499;0.0799;0;;;
660;03-DAPI-1-40x-402ms.tif;NBL;0.0266;0.0266;63.0898;1.449;1.6772;0.0385;0;;;
1553;08-DAPI-1-40x-402ms.tif;NBL;0.0597;0.0597;28.7218;1.4491;1.7141;0.0865;0;;;
944;04-DAPI-1-40x-402ms.tif;NBL;0.0473;0.0473;28.9817;1.4495;1.3711;0.0686;0;;;
610;03-DAPI-1-40x-402ms.tif;NBL;0.0248;0.0248;38.2227;1.4498;0.9498;0.036;0;;;
351;02-DAPI-1-40x-402ms.tif;NBL;0.0239;0.0239;60.0727;1.45;1.434;0.0346;0;;;
2394;16-DAPI-1-40x-402ms.tif;NBL;0.0239;0.0239;82.9591;1.45;1.9804;0.0346;0;;;
331;02-DAPI-1-40x-402ms.tif;NBL;0.0221;0.0221;41.4608;1.451;0.9178;0.0321;0;;;
1880;09-DAPI-1-40x-402ms.tif;NBL;0.0411;0.0411;85.0633;1.4512;3.4982;0.0597;0;;;
1973;14-DAPI-1-40x-402ms.tif;NBL;0.076;0.076;74.6314;1.4514;5.6686;0.1102;0;;;
792;04-DAPI-1-40x-402ms.tif;NBL;0.0384;0.0384;36.0819;1.452;1.386;0.0558;0;;;
2032;14-DAPI-1-40x-402ms.tif;NBL;0.0408;0.0408;70.8059;1.4521;2.8888;0.0592;0;;;
2490;16-DAPI-1-40x-402ms.tif;NBL;0.0658;0.0658;101.3185;1.4521;6.6622;0.0955;0;;;
918;04-DAPI-1-40x-402ms.tif;NBL;0.0341;0.0341;40.949;1.4522;1.3952;0.0495;0;;;
