"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"ARHGEF10L",0,2.38215269318034,0.242,0.049,0,"Macrophages","ARHGEF10L",0.576480951749643
"DIRC3",0,2.76680060606483,0.246,0.053,0,"Macrophages","DIRC3",0.680632949091949
"HAVCR2",0,2.45067600425766,0.22,0.027,0,"Macrophages","HAVCR2",0.539148720936684
"IFNGR1",0,1.52239937638849,0.291,0.099,0,"Macrophages","IFNGR1",0.443018218529052
"SH3BGRL",0,1.11607998903758,0.332,0.141,0,"Macrophages","SH3BGRL",0.370538556360477
"GPR137B",0,2.32120565437897,0.228,0.037,0,"Macrophages","GPR137B",0.529234889198405
"GLIPR2",0,3.01168943525014,0.216,0.025,0,"Macrophages","GLIPR2",0.650524918014029
"WDFY2",0,1.2773086842497,0.325,0.134,0,"Macrophages","WDFY2",0.415125322381152
"HEXB",0,3.3153478599984,0.212,0.022,0,"Macrophages","HEXB",0.702853746319661
"CD83",0,2.69463577556359,0.216,0.026,0,"Macrophages","CD83",0.582041327521735
"PLSCR1",0,1.64440515459332,0.295,0.106,0,"Macrophages","PLSCR1",0.485099520605029
"EEPD1",0,2.14277589606785,0.251,0.062,0,"Macrophages","EEPD1",0.53783674991303
"ITGAM",0,2.95660445231595,0.205,0.016,0,"Macrophages","ITGAM",0.606103912724771
"ZFYVE16",0,1.6143184747701,0.308,0.12,0,"Macrophages","ZFYVE16",0.497210090229192
"CDCP1",0,2.86063548310347,0.219,0.032,0,"Macrophages","CDCP1",0.626479170799659
"SLC2A9",0,3.08698044008357,0.211,0.024,0,"Macrophages","SLC2A9",0.651352872857634
"MIR181A1HG",0,1.72569009960491,0.265,0.079,0,"Macrophages","MIR181A1HG",0.457307876395301
"FIG4",0,2.11195623756318,0.24,0.054,0,"Macrophages","FIG4",0.506869497015163
"RAD51B",0,1.2456413960805,0.31,0.124,0,"Macrophages","RAD51B",0.386148832784954
"ATP6V0A1",0,1.52987684500703,0.287,0.101,0,"Macrophages","ATP6V0A1",0.439074654517016
"TSPAN14",0,1.04511137294695,0.295,0.11,0,"Macrophages","TSPAN14",0.308307855019352
"ETS2",0,1.41791775617615,0.303,0.118,0,"Macrophages","ETS2",0.429629080121374
"ADAM9",0,1.14852050143928,0.355,0.171,0,"Macrophages","ADAM9",0.407724778010944
"PDE8A",0,1.00553572453887,0.401,0.218,0,"Macrophages","PDE8A",0.403219825540088
"OSBPL1A",0,1.6522025298494,0.272,0.089,0,"Macrophages","OSBPL1A",0.449399088119037
"FGR",0,2.91270489812858,0.199,0.016,0,"Macrophages","FGR",0.579628274727588
"ARL8B",0,1.28276525671092,0.317,0.134,0,"Macrophages","ARL8B",0.406636586377361
"KLHL6",0,1.792635948205,0.232,0.049,0,"Macrophages","KLHL6",0.415891539983561
"TPK1",0,1.45705944653176,0.27,0.088,0,"Macrophages","TPK1",0.393406050563575
"TMEM51",0,2.55759119532239,0.221,0.039,0,"Macrophages","TMEM51",0.565227654166249
"CBL",0,1.19260825387781,0.284,0.102,0,"Macrophages","CBL",0.338700744101298
"RASSF3",0,1.11215770829313,0.298,0.116,0,"Macrophages","RASSF3",0.331422997071354
"CD68",0,5.76947435051431,0.185,0.003,0,"Macrophages","CD68",1.06735275484515
"ABCC3",0,1.78103432453061,0.26,0.078,0,"Macrophages","ABCC3",0.463068924377959
"SIRPA",0,2.96393142655221,0.206,0.024,0,"Macrophages","SIRPA",0.610569873869756
"SHTN1",0,1.61027624461735,0.272,0.091,0,"Macrophages","SHTN1",0.437995138535919
"ARPC5",0,2.52354738540786,0.219,0.038,0,"Macrophages","ARPC5",0.552656877404322
"KMO",0,4.82227200320986,0.187,0.006,0,"Macrophages","KMO",0.901764864600245
"SNX9",0,1.20463412100845,0.327,0.147,0,"Macrophages","SNX9",0.393915357569762
"MCL1",0,1.16074377979957,0.318,0.138,0,"Macrophages","MCL1",0.369116521976262
"IVNS1ABP",0,1.78535383477858,0.241,0.061,0,"Macrophages","IVNS1ABP",0.430270274181638
"ZNF804A",0,2.7400529010943,0.195,0.015,0,"Macrophages","ZNF804A",0.534310315713389
"FBP1",0,4.00571345997729,0.195,0.015,0,"Macrophages","FBP1",0.781114124695572
"RASSF4",0,2.94676669770966,0.207,0.027,0,"Macrophages","RASSF4",0.609980706425899
"SIGLEC1",0,5.05738089607254,0.184,0.004,0,"Macrophages","SIGLEC1",0.930558084877347
"KIF16B",0,1.43447194679643,0.31,0.13,0,"Macrophages","KIF16B",0.444686303506894
"GLDN",0,3.45067215188928,0.2,0.021,0,"Macrophages","GLDN",0.690134430377855
"FCGRT",0,3.52064350895191,0.198,0.019,0,"Macrophages","FCGRT",0.697087414772478
"TNFRSF1B",0,1.35354875683823,0.247,0.068,0,"Macrophages","TNFRSF1B",0.334326542939042
"ATP8B4",0,2.46216044280012,0.213,0.034,0,"Macrophages","ATP8B4",0.524440174316425
"ADAP2",0,3.98626261182042,0.19,0.011,0,"Macrophages","ADAP2",0.757389896245879
"P2RX7",0,3.13535605669344,0.196,0.018,0,"Macrophages","P2RX7",0.614529787111914
"SIPA1L2",0,1.44627630755678,0.258,0.08,0,"Macrophages","SIPA1L2",0.373139287349648
"CCL18",0,7.33690540683853,0.179,0.001,0,"Macrophages","CCL18",1.3133060678241
"ATP2B1",0,1.03903496933041,0.343,0.166,0,"Macrophages","ATP2B1",0.356388994480332
"TBC1D2",0,1.81219525659762,0.255,0.078,0,"Macrophages","TBC1D2",0.462109790432394
"ARHGAP22",0,3.41861514793319,0.196,0.02,0,"Macrophages","ARHGAP22",0.670048568994906
"SH2B3",0,2.15630618829627,0.218,0.042,0,"Macrophages","SH2B3",0.470074749048587
"ABHD12",0,2.10187748438783,0.229,0.054,0,"Macrophages","ABHD12",0.481329943924813
"PPARD",0,1.60826372150013,0.258,0.084,0,"Macrophages","PPARD",0.414932040147035
"GSN",0,1.52896029434009,0.285,0.111,0,"Macrophages","GSN",0.435753683886927
"ARAP1",0,1.7388075015113,0.244,0.07,0,"Macrophages","ARAP1",0.424269030368757
"CSGALNACT2",0,1.21327934536962,0.28,0.107,0,"Macrophages","CSGALNACT2",0.339718216703495
"ADAMTS2",0,1.7101170559703,0.256,0.083,0,"Macrophages","ADAMTS2",0.437789966328397
"PLA2G7",0,5.62710109433713,0.176,0.003,0,"Macrophages","PLA2G7",0.990369792603335
"LYZ",0,4.46152271153657,0.181,0.008,0,"Macrophages","LYZ",0.807535610788119
"HLA-DMB",0,3.8886667128386,0.181,0.009,0,"Macrophages","HLA-DMB",0.703848675023786
"SLC2A3",0,1.00728554384429,0.303,0.132,0,"Macrophages","SLC2A3",0.305207519784821
"CSTB",0,3.97878048779704,0.188,0.017,0,"Macrophages","CSTB",0.748010731705844
"LNCAROD",0,4.2739034951025,0.181,0.011,0,"Macrophages","LNCAROD",0.773576532613553
"LIPA",0,3.57562626855874,0.187,0.018,0,"Macrophages","LIPA",0.668642112220484
"COLGALT1",0,2.98500253591553,0.193,0.024,0,"Macrophages","COLGALT1",0.576105489431697
"THEMIS2",0,3.06530421901203,0.184,0.015,0,"Macrophages","THEMIS2",0.564015976298214
"ANPEP",0,3.27333589219379,0.182,0.013,0,"Macrophages","ANPEP",0.59574713237927
"CD84",0,2.29446795705237,0.193,0.025,0,"Macrophages","CD84",0.442832315711108
"UPP1",0,2.37492301727227,0.197,0.029,0,"Macrophages","UPP1",0.467859834402637
"STAB1",0,4.07591986943358,0.18,0.012,0,"Macrophages","STAB1",0.733665576498045
"AP1B1",0,2.55891905679846,0.205,0.037,0,"Macrophages","AP1B1",0.524578406643685
"ME1",0,2.24047698451005,0.239,0.072,0,"Macrophages","ME1",0.535473999297903
"IL10RA",0,1.8556651108059,0.204,0.037,0,"Macrophages","IL10RA",0.378555682604403
"B3GNT5",0,2.65947821882524,0.2,0.034,0,"Macrophages","B3GNT5",0.531895643765047
"RNASET2",0,2.0490612933402,0.201,0.035,0,"Macrophages","RNASET2",0.41186131996138
"ARPC1B",0,1.77157848877897,0.232,0.066,0,"Macrophages","ARPC1B",0.411006209396721
"GNS",0,2.27816121838661,0.211,0.045,0,"Macrophages","GNS",0.480692017079575
"TIAM1",0,2.98362525721792,0.181,0.015,0,"Macrophages","TIAM1",0.540036171556443
"MT-ND4L",0,1.08515949750235,0.272,0.107,0,"Macrophages","MT-ND4L",0.29516338332064
"GNAI2",0,1.6656566389261,0.223,0.058,0,"Macrophages","GNAI2",0.37144143048052
"EMC10",0,2.21853122118373,0.228,0.063,0,"Macrophages","EMC10",0.50582511842989
"NRIP1",0,1.08502742063974,0.306,0.141,0,"Macrophages","NRIP1",0.332018390715761
"HIF1A-AS3",0,1.10775931248104,0.348,0.183,0,"Macrophages","HIF1A-AS3",0.385500240743402
"MAP2K1",0,1.14408312786156,0.294,0.129,0,"Macrophages","MAP2K1",0.3363604395913
"GNB4",0,1.87360576236807,0.224,0.06,0,"Macrophages","GNB4",0.419687690770447
"GRAMD1B",0,1.56961315660412,0.203,0.039,0,"Macrophages","GRAMD1B",0.318631470790636
"SLC6A6",0,1.35786829730834,0.249,0.085,0,"Macrophages","SLC6A6",0.338109206029776
"GNA12",0,1.41785727209304,0.292,0.128,0,"Macrophages","GNA12",0.414014323451169
"SLC11A2",0,1.553642046507,0.253,0.09,0,"Macrophages","SLC11A2",0.393071437766271
"UBE2W",0,1.03576325610581,0.301,0.138,0,"Macrophages","UBE2W",0.311764740087849
"EIF4A1",0,1.60789193495148,0.24,0.077,0,"Macrophages","EIF4A1",0.385894064388355
"COTL1",0,1.4701800984614,0.211,0.049,0,"Macrophages","COTL1",0.310208000775356
"MKNK1",0,1.86785836723584,0.215,0.054,0,"Macrophages","MKNK1",0.401589548955707
"FCGR3A",0,3.92895358847549,0.168,0.007,0,"Macrophages","FCGR3A",0.660064202863882
"PLD1",0,1.40841000404963,0.25,0.089,0,"Macrophages","PLD1",0.352102501012409
"FAR2",0,1.24340299134411,0.229,0.068,0,"Macrophages","FAR2",0.284739285017801
"PFKFB3",0,1.26526634049209,0.299,0.138,0,"Macrophages","PFKFB3",0.378314635807133
"GAS2L3",0,3.62708010467088,0.172,0.011,0,"Macrophages","GAS2L3",0.623857778003392
