"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"GSAP3",2.6100035581959e-45,1.35597886988061,0.266,0.192,7.7086455091316e-41,"Natural killer cells","GSAP",0.360690379388243
"MLLT62",5.34727629275595e-45,1.46641814441392,0.174,0.103,1.57931805306547e-40,"Natural killer cells","MLLT6",0.255156757128021
"CYBA1",9.09336163650123e-44,1.67326695069457,0.121,0.062,2.68572435934064e-39,"Natural killer cells","CYBA",0.202465301034043
"STIM22",6.45566215588893e-43,1.23062691278607,0.251,0.176,1.9066798177418e-38,"Natural killer cells","STIM2",0.308887355109304
"RNF115",9.11887918877023e-43,1.39529116991895,0.224,0.151,2.69326096840329e-38,"Natural killer cells","RNF115",0.312545222061845
"TG3",9.34718970573346e-43,1.38001994327764,0.145,0.08,2.76069247958838e-38,"Natural killer cells","TG",0.200102891775258
"SMARCA21",1.15468646976253e-42,1.05295391895271,0.305,0.232,3.41036648844364e-38,"Natural killer cells","SMARCA2",0.321150945280576
"RBL21",1.88287013850568e-41,1.30645826054013,0.216,0.144,5.56105695407651e-37,"Natural killer cells","RBL2",0.282194984276669
"ATP10A2",2.14051924729333e-41,1.15482252824144,0.224,0.149,6.32202359688084e-37,"Natural killer cells","ATP10A",0.258680246326082
"MGAT4A3",2.26864009139817e-40,1.03474037702163,0.211,0.136,6.70042850994449e-36,"Natural killer cells","MGAT4A",0.218330219551563
"ARNTL1",4.24907169217731e-40,1.50722059788857,0.155,0.091,1.25496332428457e-35,"Natural killer cells","ARNTL",0.233619192672728
"NCK21",1.11972601137858e-39,1.07981343948687,0.189,0.116,3.30711077460665e-35,"Natural killer cells","NCK2",0.204084740063018
"KCNAB23",1.38164967542618e-39,1.17436563991095,0.183,0.113,4.08070231637122e-35,"Natural killer cells","KCNAB2",0.214908912103704
"STK17B3",2.42914210042365e-39,1.01076578330135,0.244,0.168,7.17447119360125e-35,"Natural killer cells","STK17B",0.246626851125529
"LITAF3",6.3679111134814e-39,1.1169616672526,0.216,0.144,1.88076254736673e-34,"Natural killer cells","LITAF",0.241263720126562
"ARHGAP41",1.94493713366093e-38,1.55448565375809,0.103,0.052,5.74437182426755e-34,"Natural killer cells","ARHGAP4",0.160112022337083
"PDCD42",3.86753125890986e-38,1.16637146794033,0.194,0.125,1.14227535731903e-33,"Natural killer cells","PDCD4",0.226276064780424
"ABHD15-AS13",8.31773041355218e-38,1.30844647787973,0.214,0.146,2.45664167764264e-33,"Natural killer cells","ABHD15-AS1",0.280007546266262
"PPM1L3",1.1936399015697e-37,1.45389399919382,0.193,0.127,3.52541544928611e-33,"Natural killer cells","PPM1L",0.280601541844408
"AGPAT41",1.45016026642681e-37,1.33758997346461,0.199,0.133,4.28304834689157e-33,"Natural killer cells","AGPAT4",0.266180404719458
"SNRK1",1.30412521100103e-36,1.23865349821512,0.179,0.113,3.85173381069155e-32,"Natural killer cells","SNRK",0.221718976180507
"RAP1GDS11",4.25799803067219e-36,1.18635953305573,0.249,0.182,1.25759971835903e-31,"Natural killer cells","RAP1GDS1",0.295403523730877
"CMC12",2.62937066406804e-35,1.54392969824111,0.154,0.095,7.76584625632497e-31,"Natural killer cells","CMC1",0.237765173529131
"WDR372",4.11241387447416e-35,1.29820359876419,0.218,0.154,1.21460143782594e-30,"Natural killer cells","WDR37",0.283008384530592
"XPO62",5.88119346961517e-35,1.27442425644329,0.198,0.133,1.73701049125084e-30,"Natural killer cells","XPO6",0.252336002775771
"SEPTIN71",3.43191523820031e-34,1.14050248501313,0.264,0.2,1.01361616560246e-29,"Natural killer cells","SEPTIN7",0.301092656043466
"KIF2A2",1.33125840824877e-33,1.28551322376196,0.183,0.121,3.93187170876274e-29,"Natural killer cells","KIF2A",0.235248919948438
"PRDM11",2.39651528736538e-33,1.12374827161569,0.101,0.052,7.07810790123364e-29,"Natural killer cells","PRDM1",0.113498575433185
"MTSS13",2.47251145496141e-33,1.01975071434362,0.245,0.177,7.30256258222851e-29,"Natural killer cells","MTSS1",0.249838925014187
"CDK172",2.73501609355837e-33,1.00504511253587,0.283,0.219,8.07787003232466e-29,"Natural killer cells","CDK17",0.284427766847651
"CDC42SE1",6.17931984742726e-33,1.7158966932407,0.107,0.058,1.82506211693764e-28,"Natural killer cells","CDC42SE1",0.183600946176755
"TLE43",3.9760069614915e-32,1.08293168661584,0.238,0.173,1.17431365607651e-27,"Natural killer cells","TLE4",0.257737741414571
"TGFBR12",1.16598012142854e-31,1.34728752370932,0.163,0.105,3.44372228863919e-27,"Natural killer cells","TGFBR1",0.219607866364618
"ESR23",1.20300478322781e-31,1.29145344420265,0.129,0.076,3.55307462726333e-27,"Natural killer cells","ESR2",0.166597494302142
"AGK",4.16336163025651e-31,1.8150934651844,0.105,0.058,1.22964885749626e-26,"Natural killer cells","AGK",0.190584813844362
"ITCH1",3.01738274715412e-30,1.06509058629279,0.312,0.263,8.9118399437197e-26,"Natural killer cells","ITCH",0.332308262923351
"ANXA63",8.53314419916829e-30,1.35420366549147,0.125,0.074,2.52026413922435e-25,"Natural killer cells","ANXA6",0.169275458186434
"CCM22",1.12493298929483e-29,1.18960249364518,0.196,0.137,3.32248958388229e-25,"Natural killer cells","CCM2",0.233162088754456
"SUCLG22",1.15496084261118e-29,1.00896487862506,0.303,0.251,3.41117684865212e-25,"Natural killer cells","SUCLG2",0.305716358223394
"IRF11",1.74105638356695e-29,1.39251238819795,0.114,0.065,5.142210028865e-25,"Natural killer cells","IRF1",0.158746412254566
"BCR3",5.36534442444591e-29,1.43123098732352,0.154,0.1,1.5846544757601e-24,"Natural killer cells","BCR",0.220409572047822
"ERAP22",7.91416287643858e-28,1.39481795652163,0.129,0.079,2.33744800555613e-23,"Natural killer cells","ERAP2",0.17993151639129
"RFX3-AS1",1.31614473173785e-27,1.42221623971199,0.133,0.083,3.88723346518774e-23,"Natural killer cells","RFX3-AS1",0.189154759881695
"CD382",2.051425533029e-27,1.12067514396329,0.161,0.106,6.05888531180115e-23,"Natural killer cells","CD38",0.18042869817809
"HELB2",2.22620790538661e-27,1.26120914085531,0.115,0.067,6.57510504855935e-23,"Natural killer cells","HELB",0.145039051198361
"USP241",3.38559995189954e-27,1.09958939571996,0.271,0.22,9.99936945793529e-23,"Natural killer cells","USP24",0.297988726240109
"SCLT13",9.3719512251476e-27,1.05965015217243,0.238,0.182,2.76800579434734e-22,"Natural killer cells","SCLT1",0.252196736217038
"GRK22",1.01222958528297e-26,1.39645622055416,0.102,0.058,2.98962008013326e-22,"Natural killer cells","GRK2",0.142438534496524
"MNAT11",1.43263986467952e-26,1.22692097319587,0.229,0.177,4.23130184033097e-22,"Natural killer cells","MNAT1",0.280964902861853
"UBE2F2",4.44386449441573e-26,1.60360048801533,0.119,0.073,1.31249537842569e-21,"Natural killer cells","UBE2F",0.190828458073824
"DDX62",4.68791322032753e-26,1.20415601361228,0.187,0.133,1.38457516962373e-21,"Natural killer cells","DDX6",0.225177174545497
"MSL21",2.35875774596099e-25,1.3967297849102,0.126,0.079,6.96659100269578e-21,"Natural killer cells","MSL2",0.175987952898686
"KLF132",2.42914146290321e-25,1.26319917609022,0.161,0.109,7.17446931068464e-21,"Natural killer cells","KLF13",0.203375067350526
"ARSG1",2.61326521717153e-25,1.53573586694874,0.104,0.061,7.71827881891612e-21,"Natural killer cells","ARSG",0.159716530162669
"RAB27A2",1.44659731157552e-24,1.0623606165558,0.222,0.168,4.27252515973829e-20,"Natural killer cells","RAB27A",0.235844056875387
"DIPK1A2",1.99312772610993e-24,1.19530571564914,0.146,0.096,5.88670273906567e-20,"Natural killer cells","DIPK1A",0.174514634484775
"LPCAT12",2.43639005019044e-24,1.09910169565056,0.159,0.108,7.19587801323745e-20,"Natural killer cells","LPCAT1",0.174757169608439
"NIN3",3.65132396337975e-24,1.01860833665926,0.19,0.136,1.07841853258421e-19,"Natural killer cells","NIN",0.193535583965259
"CD473",1.24862511933887e-23,1.08571644622504,0.254,0.206,3.68781428996734e-19,"Natural killer cells","CD47",0.275771977341161
"HERPUD21",5.44224136250285e-23,1.31839297806236,0.143,0.096,1.60736598641522e-18,"Natural killer cells","HERPUD2",0.188530195862918
"RHBDF23",8.37882395338119e-23,1.32243931615948,0.115,0.072,2.47468565463113e-18,"Natural killer cells","RHBDF2",0.15208052135834
"HAVCR22",1.07545584161279e-22,1.43790843265774,0.112,0.069,3.17635882820337e-18,"Natural killer cells","HAVCR2",0.161045744457667
"SFI11",3.03459038563816e-22,1.32006862884433,0.12,0.076,8.96266270398229e-18,"Natural killer cells","SFI1",0.158408235461319
"SSBP32",4.82513639256423e-22,1.17242883774785,0.19,0.141,1.42510403354385e-17,"Natural killer cells","SSBP3",0.222761479172092
"ARHGEF61",1.48883611074934e-21,1.01485589514074,0.125,0.08,4.39727745309818e-17,"Natural killer cells","ARHGEF6",0.126856986892593
"CYLD2",1.798905972584e-21,1.06142657916318,0.174,0.125,5.31306879002686e-17,"Natural killer cells","CYLD",0.184688224774393
"C22orf342",2.19098102732116e-21,1.06162927432065,0.149,0.101,6.47106246419306e-17,"Natural killer cells","C22orf34",0.158182761873777
"MRPL1",3.50978734477623e-21,1.58212002389335,0.104,0.064,1.03661569227966e-16,"Natural killer cells","MRPL1",0.164540482484909
"GBP22",5.21147041305179e-21,1.16464801765729,0.151,0.105,1.53920778649485e-16,"Natural killer cells","GBP2",0.175861850666251
"TMC62",5.32069508524627e-21,1.37908193018418,0.114,0.072,1.57146729342749e-16,"Natural killer cells","TMC6",0.157215340040996
"PRPF38B3",2.03270639186642e-20,1.17202327448603,0.189,0.142,6.00359832837747e-16,"Natural killer cells","PRPF38B",0.221512398877859
"MECP21",3.821286548948e-20,1.06997575023081,0.205,0.159,1.12861698223179e-15,"Natural killer cells","MECP2",0.219345028797317
"OFD13",9.07103047893665e-20,1.25470434018475,0.16,0.116,2.67912885195394e-15,"Natural killer cells","OFD1",0.200752694429561
"PCNT1",9.75022753981699e-20,1.3372484404962,0.127,0.086,2.87972970388495e-15,"Natural killer cells","PCNT",0.169830551943017
"PPP1R23",5.40592492055359e-19,1.18654911863312,0.113,0.074,1.5966399252855e-14,"Natural killer cells","PPP1R2",0.134080050405543
"KDM2B2",6.37523726606548e-19,1.23864264209055,0.141,0.099,1.88292632653244e-14,"Natural killer cells","KDM2B",0.174648612534768
"MPHOSPH92",9.18127333247276e-19,1.30090309196668,0.119,0.079,2.71168907874583e-14,"Natural killer cells","MPHOSPH9",0.154807467944035
"SP1102",1.72849126638983e-18,1.11295484250706,0.132,0.091,5.10509895528235e-14,"Natural killer cells","SP110",0.146910039210932
"TENT4B3",6.02470898542304e-18,1.2382614959405,0.152,0.11,1.7793977988447e-13,"Natural killer cells","TENT4B",0.188215747382955
"GALNT102",1.00673311626565e-17,1.06964799295546,0.196,0.154,2.97338625889059e-13,"Natural killer cells","GALNT10",0.209651006619271
"TRIM221",2.10528561146593e-17,1.153510324291,0.153,0.112,6.21796105346462e-13,"Natural killer cells","TRIM22",0.176487079616523
"IL10RA4",2.75265423121525e-17,1.03312290066346,0.112,0.074,8.12996427189424e-13,"Natural killer cells","IL10RA",0.115709764874307
"SUSD12",7.82897004959474e-17,1.48027931470165,0.106,0.07,2.31228630414781e-12,"Natural killer cells","SUSD1",0.156909607358375
"INSYN2B4",1.19364922159235e-16,1.1565507012555,0.112,0.075,3.525442975973e-12,"Natural killer cells","INSYN2B",0.129533678540616
"DENND6A1",8.53712642553776e-16,1.127276880197,0.155,0.116,2.52144028978258e-11,"Natural killer cells","DENND6A",0.174727916430536
"OXNAD11",2.14618728124756e-15,1.04068720312734,0.14,0.101,6.33876413516468e-11,"Natural killer cells","OXNAD1",0.145696208437827
"PRKY1",6.45961262007961e-15,1.16698511361638,0.115,0.08,1.90784658734051e-10,"Natural killer cells","PRKY",0.134203288065883
"OSTF11",1.39301105720057e-14,1.22529510241893,0.127,0.092,4.11425815744187e-10,"Natural killer cells","OSTF1",0.155612478007204
"LLGL22",2.10320746669382e-14,1.19635563120038,0.123,0.088,6.2118232528802e-10,"Natural killer cells","LLGL2",0.147151742637647
"ZNF718",2.21756431162118e-14,1.43698766088363,0.1,0.068,6.54957619437315e-10,"Natural killer cells","ZNF718",0.143698766088363
"STAG22",2.65927119060311e-14,1.10214752709443,0.118,0.083,7.8541574614463e-10,"Natural killer cells","STAG2",0.130053408197142
"SLC20A12",6.77621135413554e-13,1.0309614858306,0.12,0.087,2.00135402344393e-08,"Natural killer cells","SLC20A1",0.123715378299671
"BICRAL1",2.42817002831739e-12,1.00310079546587,0.156,0.122,7.17160017863542e-08,"Natural killer cells","BICRAL",0.156483724092676
"CALM11",2.66425660190448e-11,1.2060950928676,0.117,0.087,7.86888187372488e-07,"Natural killer cells","CALM1",0.141113125865509
"SLC39A101",5.92273977164194e-11,1.14575592754696,0.107,0.078,1.74928119155445e-06,"Natural killer cells","SLC39A10",0.122595884247525
"PSIP11",1.95326087241765e-10,1.13066671434404,0.101,0.073,5.76895598668552e-06,"Natural killer cells","PSIP1",0.114197338148748
"HIPK11",2.36647216750771e-10,1.12881547929133,0.138,0.11,6.98937554673402e-06,"Natural killer cells","HIPK1",0.155776536142204
"LPGAT12",7.47583999971957e-10,1.15555379705209,0.136,0.109,2.20798934391717e-05,"Natural killer cells","LPGAT1",0.157155316399084
"APOL62",1.97065865302073e-09,1.13494320377824,0.119,0.093,5.82034033169672e-05,"Natural killer cells","APOL6",0.135058241249611
"CHD31",4.7895380771622e-09,1.00894720329753,0.119,0.093,0.000141459007108986,"Natural killer cells","CHD3",0.120064717192407
"DNAJB141",5.53969296541101e-09,1.04303367638525,0.162,0.138,0.000163614831733414,"Natural killer cells","DNAJB14",0.16897145557441
"CDK62",1.13387603398478e-08,1.00723522871072,0.166,0.142,0.000334890286637403,"Natural killer cells","CDK6",0.167201047965979
"OPTN2",2.26019546988268e-08,1.05426148465047,0.112,0.087,0.000667548732029849,"Natural killer cells","OPTN",0.118077286280853
"SNTB22",2.35269858231809e-08,1.11816252517362,0.12,0.095,0.000694869526287647,"Natural killer cells","SNTB2",0.134179503020835
"PLEKHA11",4.05725680821739e-08,1.06381686687276,0.126,0.102,0.00119831079830701,"Natural killer cells","PLEKHA1",0.134040925225967
"ERCC5",7.10718918610657e-08,1.16545384332696,0.104,0.081,0.00209910832611657,"Natural killer cells","ERCC5",0.121207199706004
"DENND6A-AS11",8.80843950641776e-08,1.18227505048568,0.1,0.078,0.00260157260822048,"Natural killer cells","DENND6A-AS1",0.118227505048568
"LASP12",9.78182574329022e-08,1.0674916889785,0.124,0.101,0.00288906223328077,"Natural killer cells","LASP1",0.132368969433334
"CHORDC12",1.84172907175695e-07,1.11588187740008,0.103,0.081,0.00543954681343415,"Natural killer cells","CHORDC1",0.114935833372208
"ZBTB44",2.99465890050816e-06,1.16832357043161,0.103,0.085,0.0884472506265085,"Natural killer cells","ZBTB44",0.120337327754456
"NCK12",1.11997551671229e-05,1.0350072844207,0.127,0.109,0.330784768860973,"Natural killer cells","NCK1",0.131445925121429
"BRD11",2.83883830261779e-05,1.06366416571595,0.106,0.089,0.838450892678163,"Natural killer cells","BRD1",0.112748401565891
"EPG51",3.22277542824717e-05,1.04073605573115,0.148,0.134,0.951846722732801,"Natural killer cells","EPG5",0.15402893624821
"DECR13",0.00014072476739048,1.06565336938299,0.119,0.105,1,"Natural killer cells","DECR1",0.126812750956576
"SETD31",0.000756804722789364,1.02570655081493,0.128,0.117,1,"Natural killer cells","SETD3",0.131290438504311
"MAGED11",0.00181966797161324,1.00501707012408,0.109,0.098,1,"Natural killer cells","MAGED1",0.109546860643525
"LDB2",0,6.03067201916603,0.817,0.051,0,"Endothelial cells","LDB2",4.92705903965864
"CALCRL",0,7.56928871719828,0.612,0.009,0,"Endothelial cells","CALCRL",4.63240469492535
"ST6GALNAC32",0,4.57246307352742,0.638,0.062,0,"Endothelial cells","ST6GALNAC3",2.91723144091049
"TCF41",0,2.99008474665913,0.795,0.236,0,"Endothelial cells","TCF4",2.37711737359401
"DOCK92",0,3.36952608503969,0.709,0.15,0,"Endothelial cells","DOCK9",2.38899399429314
"SASH1",0,3.57652897474259,0.66,0.141,0,"Endothelial cells","SASH1",2.36050912333011
"GALNT181",0,4.60219595472955,0.593,0.074,0,"Endothelial cells","GALNT18",2.72910220115462
"PECAM13",0,3.49692779539354,0.589,0.098,0,"Endothelial cells","PECAM1",2.0596904714868
"RALGAPA21",0,3.31323806669779,0.718,0.241,0,"Endothelial cells","RALGAPA2",2.37890493188901
"VWF",0,8.13796758682532,0.475,0.004,0,"Endothelial cells","VWF",3.86553460374202
"EPAS11",0,3.89581270095563,0.619,0.158,0,"Endothelial cells","EPAS1",2.41150806189154
"ARHGAP291",0,4.24120907273526,0.523,0.064,0,"Endothelial cells","ARHGAP29",2.21815234504054
"TIMP32",0,2.91180269584633,0.578,0.124,0,"Endothelial cells","TIMP3",1.68302195819918
"KALRN1",0,4.16986347564951,0.513,0.064,0,"Endothelial cells","KALRN",2.1391399630082
"PTPRB",0,7.25508331435526,0.455,0.006,0,"Endothelial cells","PTPRB",3.30106290803164
"ZEB13",0,2.27824293049696,0.618,0.178,0,"Endothelial cells","ZEB1",1.40795413104712
"MAGI12",0,2.22239920168578,0.683,0.245,0,"Endothelial cells","MAGI1",1.51789865475139
"FBXL71",0,2.74349159322867,0.57,0.134,0,"Endothelial cells","FBXL7",1.56379020814034
"SPTBN12",0,2.337446015864,0.664,0.236,0,"Endothelial cells","SPTBN1",1.5520641545337
"ADGRL2",0,5.82781970833785,0.47,0.043,0,"Endothelial cells","ADGRL2",2.73907526291879
"PTPRM3",0,2.40100508455364,0.764,0.337,0,"Endothelial cells","PTPRM",1.83436788459898
"SLCO2A1",0,6.21408142610195,0.438,0.016,0,"Endothelial cells","SLCO2A1",2.72176766463266
"PLEKHG11",0,3.75725008979936,0.495,0.073,0,"Endothelial cells","PLEKHG1",1.85983879445068
"PPFIBP12",0,3.22639354199012,0.535,0.135,0,"Endothelial cells","PPFIBP1",1.72612054496471
"HECW2",0,5.78853586679112,0.41,0.019,0,"Endothelial cells","HECW2",2.37329970538436
"ANO2",0,8.05970318493032,0.388,0.003,0,"Endothelial cells","ANO2",3.12716483575297
"RAPGEF51",0,2.67977304678994,0.511,0.131,0,"Endothelial cells","RAPGEF5",1.36936402690966
"NFIB2",0,2.34518725812076,0.587,0.208,0,"Endothelial cells","NFIB",1.37662492051688
"ERG1",0,4.5348543563322,0.404,0.026,0,"Endothelial cells","ERG",1.83208115995821
"APP",0,2.699602483438,0.583,0.206,0,"Endothelial cells","APP",1.57386824784435
"SHANK3",0,7.26628429417539,0.38,0.004,0,"Endothelial cells","SHANK3",2.76118803178665
"TMTC11",0,4.50517827576282,0.431,0.056,0,"Endothelial cells","TMTC1",1.94173183685378
"WWTR13",0,2.99758546793395,0.498,0.134,0,"Endothelial cells","WWTR1",1.49279756303111
"PRKCH2",0,1.39061259489962,0.588,0.227,0,"Endothelial cells","PRKCH",0.817680205800974
"RAPGEF41",0,5.06566896150897,0.379,0.022,0,"Endothelial cells","RAPGEF4",1.9198885364119
"PTK23",0,2.13434506919024,0.568,0.211,0,"Endothelial cells","PTK2",1.21230799930005
"KIAA12171",0,3.20211015502336,0.473,0.127,0,"Endothelial cells","KIAA1217",1.51459810332605
"TTC282",0,1.97674388069092,0.576,0.23,0,"Endothelial cells","TTC28",1.13860447527797
"ABLIM12",0,2.3782954305788,0.502,0.161,0,"Endothelial cells","ABLIM1",1.19390430615056
"PREX2",0,4.39330254803765,0.37,0.032,0,"Endothelial cells","PREX2",1.62552194277393
"PLCB41",0,3.2431006941791,0.407,0.069,0,"Endothelial cells","PLCB4",1.31994198253089
"FLT1",0,6.08142479873822,0.351,0.014,0,"Endothelial cells","FLT1",2.13458010435711
"TFPI2",0,2.59725152626871,0.499,0.163,0,"Endothelial cells","TFPI",1.29602851160809
"PLCB13",0,2.61847970379094,0.418,0.085,0,"Endothelial cells","PLCB1",1.09452451618461
"EPB41L4A1",0,2.96484277570311,0.439,0.107,0,"Endothelial cells","EPB41L4A",1.30156597853367
"RPGR",0,3.85568475124297,0.395,0.063,0,"Endothelial cells","RPGR",1.52299547674097
"ADAMTS91",0,4.18225481311096,0.367,0.045,0,"Endothelial cells","ADAMTS9",1.53488751641172
"BMPR22",0,2.4771794257917,0.561,0.248,0,"Endothelial cells","BMPR2",1.38969765786914
"STXBP61",0,4.56831600879751,0.34,0.031,0,"Endothelial cells","STXBP6",1.55322744299115
"SEMA6A",0,4.75647328882271,0.33,0.022,0,"Endothelial cells","SEMA6A",1.5696361853115
"ASAP13",0,1.42308792625769,0.633,0.334,0,"Endothelial cells","ASAP1",0.90081465732112
"ZBTB162",0,1.57285118220221,0.63,0.331,0,"Endothelial cells","ZBTB16",0.990896244787389
"AKT33",0,1.40958844713365,0.552,0.256,0,"Endothelial cells","AKT3",0.778092822817776
"SEC14L13",0,2.55256350121264,0.417,0.121,0,"Endothelial cells","SEC14L1",1.06441898000567
"CALD11",0,1.19368633465361,0.44,0.146,0,"Endothelial cells","CALD1",0.525221987247586
"CNKSR32",0,3.48044952837368,0.353,0.066,0,"Endothelial cells","CNKSR3",1.22859868351591
"PIK3R3",0,4.97425103917283,0.318,0.035,0,"Endothelial cells","PIK3R3",1.58181183045696
"SH3RF31",0,2.6835252953932,0.379,0.096,0,"Endothelial cells","SH3RF3",1.01705608695402
"COL4A22",0,2.12250624870528,0.401,0.118,0,"Endothelial cells","COL4A2",0.851125005730817
"LHFPL61",0,2.58032369033377,0.382,0.1,0,"Endothelial cells","LHFPL6",0.9856836497075
"MEIS21",0,2.57204683898398,0.396,0.116,0,"Endothelial cells","MEIS2",1.01853054823766
"ARHGEF123",0,1.96400684683676,0.481,0.202,0,"Endothelial cells","ARHGEF12",0.94468729332848
"GNA14",0,3.5783178160776,0.334,0.056,0,"Endothelial cells","GNA14",1.19515815056992
"AFDN2",0,1.81378731081204,0.494,0.218,0,"Endothelial cells","AFDN",0.896010931541147
"ZFPM21",0,2.16369293227975,0.374,0.098,0,"Endothelial cells","ZFPM2",0.809221156672625
"FLI15",0,1.64673589343068,0.47,0.197,0,"Endothelial cells","FLI1",0.77396586991242
"PTPRG2",0,1.51309409558598,0.551,0.28,0,"Endothelial cells","PTPRG",0.833714846667874
"ITGA12",0,2.44933571589435,0.359,0.089,0,"Endothelial cells","ITGA1",0.879311522006071
"EMCN",0,7.84858945896191,0.271,0.002,0,"Endothelial cells","EMCN",2.12696774337868
"SORBS12",0,2.78719077264723,0.369,0.1,0,"Endothelial cells","SORBS1",1.02847339510683
"COL4A12",0,2.03997875963357,0.383,0.114,0,"Endothelial cells","COL4A1",0.781311864939658
"TANC13",0,1.69589316644809,0.466,0.198,0,"Endothelial cells","TANC1",0.790286215564811
"TEK",0,6.04550164506844,0.27,0.007,0,"Endothelial cells","TEK",1.63228544416848
"EGFL7",0,7.29012555532172,0.264,0.002,0,"Endothelial cells","EGFL7",1.92459314660493
"BTNL9",0,7.09200026085896,0.265,0.004,0,"Endothelial cells","BTNL9",1.87938006912762
"CRIM11",0,2.12169212762729,0.412,0.152,0,"Endothelial cells","CRIM1",0.874137156582443
"ETS12",0,1.40290370413845,0.384,0.125,0,"Endothelial cells","ETS1",0.538715022389166
"TSPAN91",0,2.83829835253941,0.33,0.071,0,"Endothelial cells","TSPAN9",0.936638456338005
"FGD5",0,3.97181092673481,0.289,0.031,0,"Endothelial cells","FGD5",1.14785335782636
"EXOC6",0,2.69269504100582,0.374,0.117,0,"Endothelial cells","EXOC6",1.00706794533618
"RHOJ",0,4.59631915090289,0.275,0.018,0,"Endothelial cells","RHOJ",1.26398776649829
"NXN1",0,2.1723551451706,0.386,0.129,0,"Endothelial cells","NXN",0.838529086035852
"CDC42BPA3",0,1.80314484857255,0.472,0.216,0,"Endothelial cells","CDC42BPA",0.851084368526243
"ZDHHC14",0,2.81392118357947,0.349,0.093,0,"Endothelial cells","ZDHHC14",0.982058493069234
"TJP13",0,1.91362111959629,0.411,0.157,0,"Endothelial cells","TJP1",0.786498280154076
"RPS6KA21",0,1.78338977508865,0.465,0.212,0,"Endothelial cells","RPS6KA2",0.829276245416222
"GRB101",0,2.68949634690324,0.358,0.108,0,"Endothelial cells","GRB10",0.962839692191359
"SYN32",0,2.90290647052447,0.31,0.06,0,"Endothelial cells","SYN3",0.899901005862587
"CADPS22",0,1.74723781310008,0.452,0.203,0,"Endothelial cells","CADPS2",0.789751491521237
"ARHGAP312",0,2.2646140027506,0.373,0.129,0,"Endothelial cells","ARHGAP31",0.844701023025972
"PKHD1L1",0,6.81446907520136,0.251,0.007,0,"Endothelial cells","PKHD1L1",1.71043173787554
"CDK173",0,1.76408309710289,0.448,0.205,0,"Endothelial cells","CDK17",0.790309227502095
"AFAP1L1",0,5.90604149907723,0.251,0.008,0,"Endothelial cells","AFAP1L1",1.48241641626839
"ADGRF52",0,2.27979509580059,0.347,0.106,0,"Endothelial cells","ADGRF5",0.791088898242805
"GRK53",0,1.77031928548699,0.43,0.189,0,"Endothelial cells","GRK5",0.761237292759405
"ARHGAP263",0,1.28883867542593,0.558,0.318,0,"Endothelial cells","ARHGAP26",0.719171980887667
"DACH11",0,3.84174086873637,0.274,0.034,0,"Endothelial cells","DACH1",1.05263699803377
"SMAD6",0,5.37112277258025,0.261,0.021,0,"Endothelial cells","SMAD6",1.40186304364344
"THSD42",0,2.2046710368177,0.392,0.152,0,"Endothelial cells","THSD4",0.86423104643254
"SEMA3A",0,5.65809337581935,0.257,0.018,0,"Endothelial cells","SEMA3A",1.45412999758557
"UACA1",0,1.88917206385719,0.363,0.124,0,"Endothelial cells","UACA",0.68576945918016
"DOCK61",0,3.35555599816381,0.285,0.047,0,"Endothelial cells","DOCK6",0.956333459476686
"LIFR2",0,3.3524223756701,0.314,0.078,0,"Endothelial cells","LIFR",1.05266062596041
"ARHGEF102",0,2.7846173859456,0.32,0.087,0,"Endothelial cells","ARHGEF10",0.891077563502592
"AKAP121",0,3.55204475455258,0.287,0.054,0,"Endothelial cells","AKAP12",1.01943684455659
"TGFBR33",0,2.24946371904546,0.327,0.095,0,"Endothelial cells","TGFBR3",0.735574636127865
"THSD7A2",0,3.80669463932722,0.27,0.039,0,"Endothelial cells","THSD7A",1.02780755261835
"HIF3A1",0,3.63076377017163,0.263,0.032,0,"Endothelial cells","HIF3A",0.95489087155514
"RAI142",0,2.19445119123151,0.37,0.139,0,"Endothelial cells","RAI14",0.811946940755657
"MEF2C2",0,1.49138953054659,0.388,0.158,0,"Endothelial cells","MEF2C",0.578659137852076
"PCDH17",0,7.32543326397497,0.233,0.003,0,"Endothelial cells","PCDH17",1.70682595050617
"PRSS231",0,3.10907502225401,0.273,0.046,0,"Endothelial cells","PRSS23",0.848777481075344
"NOTCH4",0,7.20373906430316,0.228,0.002,0,"Endothelial cells","NOTCH4",1.64245250666112
"PDLIM13",0,2.96741702039892,0.304,0.079,0,"Endothelial cells","PDLIM1",0.902094774201273
"KIAA16712",0,2.87900768177544,0.285,0.061,0,"Endothelial cells","KIAA1671",0.820517189306001
"CDH5",0,7.67825092438106,0.224,0.001,0,"Endothelial cells","CDH5",1.71992820706136
"PLXNA22",0,2.42065757714534,0.348,0.125,0,"Endothelial cells","PLXNA2",0.842388836846578
"SPARCL11",0,3.10060496287782,0.275,0.053,0,"Endothelial cells","SPARCL1",0.8526663647914
"SERPINE11",0,2.84982839708309,0.279,0.057,0,"Endothelial cells","SERPINE1",0.795102122786183
"NRG31",0,3.81674164658688,0.252,0.03,0,"Endothelial cells","NRG3",0.961818894939894
"MMRN1",0,8.49644174702292,0.222,0.001,0,"Endothelial cells","MMRN1",1.88621006783909
